id,disp_id,type,issued
1,9,gold,10/16/1998
2,19,classic,3/13/1998
3,41,gold,9/3/1995
4,42,classic,11/26/1998
5,51,junior,4/24/1995
7,56,classic,6/11/1998
8,60,junior,5/20/1998
9,76,classic,10/25/1997
10,77,classic,12/7/1996
11,79,gold,10/25/1997
12,83,junior,9/11/1996
13,87,classic,6/29/1994
14,112,classic,2/17/1996
15,114,classic,3/5/1995
16,116,classic,6/23/1998
17,127,classic,6/7/1998
18,128,classic,8/25/1995
19,130,classic,9/9/1997
20,131,classic,12/2/1998
21,132,classic,2/26/1998
22,138,classic,1/11/1997
23,146,classic,10/3/1998
24,153,junior,8/5/1996
25,158,classic,12/6/1997
26,161,classic,9/14/1998
27,167,junior,11/15/1998
28,174,junior,1/22/1998
29,192,classic,8/20/1998
30,202,classic,10/1/1997
31,208,classic,10/21/1998
32,219,classic,8/6/1998
33,221,junior,12/3/1997
34,225,classic,3/20/1998
35,231,classic,10/7/1998
36,236,classic,9/28/1998
37,238,classic,4/20/1996
38,242,classic,8/31/1996
39,254,classic,7/14/1998
40,255,classic,10/13/1996
41,256,classic,8/31/1997
42,264,junior,7/28/1998
43,267,classic,8/29/1997
44,268,junior,5/17/1996
45,272,classic,12/5/1997
46,273,classic,11/10/1998
47,280,classic,8/13/1998
48,295,classic,3/10/1998
49,305,classic,10/3/1997
50,309,classic,5/28/1997
51,321,classic,11/21/1997
52,326,gold,4/10/1998
53,333,classic,10/13/1998
54,334,classic,1/24/1997
55,335,classic,1/25/1998
56,339,classic,11/22/1998
57,347,classic,11/9/1996
58,358,classic,3/11/1998
59,365,classic,10/27/1997
60,370,classic,10/18/1998
61,374,classic,10/18/1998
63,378,junior,3/27/1998
64,402,classic,5/10/1998
65,414,classic,2/2/1998
66,425,classic,7/8/1998
67,429,junior,1/28/1998
68,434,classic,1/31/1998
69,438,classic,5/17/1997
70,439,classic,2/8/1994
71,441,classic,4/11/1998
72,447,classic,3/9/1998
73,451,junior,7/21/1998
74,453,classic,10/18/1998
75,457,classic,7/29/1997
76,464,classic,12/23/1998
77,466,classic,8/13/1998
78,468,classic,8/4/1998
79,469,classic,9/2/1998
80,471,classic,6/25/1998
81,473,classic,12/17/1997
82,474,classic,5/7/1997
83,483,classic,1/5/1998
84,487,classic,6/26/1996
85,489,classic,12/31/1995
86,490,classic,11/28/1997
87,493,classic,11/2/1996
88,496,classic,11/4/1996
89,497,classic,4/22/1998
90,503,classic,6/4/1997
91,504,junior,9/1/1997
92,508,classic,11/20/1995
93,510,classic,11/9/1997
94,513,classic,11/6/1997
95,519,junior,8/1/1998
96,528,classic,8/26/1998
97,531,junior,9/19/1995
98,537,classic,9/6/1995
99,548,gold,10/9/1996
100,562,gold,2/21/1998
101,566,classic,6/19/1998
102,575,classic,11/12/1998
103,584,junior,8/17/1996
104,588,classic,1/19/1994
105,590,classic,1/17/1997
106,592,classic,1/14/1996
107,593,classic,6/27/1995
108,597,classic,6/25/1997
109,605,classic,4/26/1998
110,608,classic,5/31/1997
111,615,classic,6/5/1998
112,626,junior,1/19/1997
113,629,junior,11/16/1995
115,638,classic,7/30/1997
116,646,classic,10/11/1998
117,649,junior,11/23/1996
118,652,classic,10/22/1995
119,655,classic,8/8/1996
120,662,classic,7/3/1997
121,666,junior,7/22/1996
122,667,junior,7/3/1997
123,679,classic,6/12/1998
124,688,classic,10/10/1997
125,694,gold,12/26/1998
126,707,classic,5/23/1998
127,714,classic,5/23/1996
128,716,classic,8/19/1998
129,719,classic,11/5/1998
130,722,classic,12/29/1997
131,725,classic,12/8/1998
132,731,junior,2/26/1998
133,742,classic,6/16/1997
134,769,classic,9/7/1998
136,778,classic,7/28/1995
137,786,junior,1/10/1997
138,791,classic,11/2/1998
139,797,classic,7/14/1997
140,798,classic,8/22/1997
141,808,classic,9/15/1998
142,810,classic,7/1/1998
143,816,classic,6/15/1998
145,819,classic,6/17/1997
146,822,classic,7/23/1998
147,826,junior,12/13/1998
148,834,classic,11/22/1998
149,858,classic,1/7/1998
150,859,classic,3/30/1996
151,861,classic,9/16/1998
152,876,classic,9/16/1996
153,886,gold,10/19/1997
154,887,classic,12/28/1997
155,900,junior,5/17/1997
156,906,junior,4/7/1998
157,907,classic,4/24/1996
158,928,gold,10/25/1998
159,946,classic,5/1/1995
160,954,classic,6/17/1998
161,963,classic,5/25/1998
162,967,junior,12/23/1996
163,984,classic,9/18/1996
164,992,classic,11/29/1998
165,996,junior,2/4/1998
166,999,classic,3/5/1995
167,1011,classic,9/15/1995
168,1018,classic,1/24/1995
169,1019,classic,8/10/1998
170,1020,classic,4/16/1998
171,1027,classic,3/5/1997
172,1030,classic,12/14/1998
173,1031,classic,6/21/1998
174,1039,junior,12/4/1994
175,1040,classic,1/3/1997
176,1049,classic,4/25/1998
177,1056,classic,11/19/1998
178,1057,classic,11/21/1998
179,1059,classic,8/10/1998
180,1062,classic,9/29/1998
181,1066,classic,8/19/1994
182,1067,gold,8/31/1997
183,1080,classic,5/8/1996
184,1089,gold,6/3/1997
185,1098,classic,9/7/1997
186,1133,gold,5/12/1998
187,1140,classic,9/7/1997
188,1146,classic,6/19/1994
189,1157,classic,2/19/1997
190,1165,classic,9/23/1997
191,1168,junior,4/2/1998
192,1169,classic,6/8/1998
193,1179,gold,9/21/1998
194,1182,classic,1/13/1997
195,1194,classic,2/3/1997
196,1197,classic,12/22/1998
197,1202,junior,10/21/1996
198,1211,junior,3/18/1998
199,1213,classic,2/7/1997
200,1220,gold,12/9/1997
201,1223,classic,12/8/1998
202,1228,classic,2/4/1996
203,1231,classic,9/16/1998
204,1239,junior,5/30/1996
205,1242,classic,11/16/1998
206,1243,classic,9/22/1997
207,1244,classic,5/25/1998
208,1246,gold,2/8/1995
209,1251,classic,7/31/1998
210,1253,classic,2/16/1997
211,1271,classic,6/10/1997
212,1280,classic,5/24/1998
213,1289,gold,6/11/1997
214,1292,classic,1/24/1998
215,1296,classic,3/2/1998
216,1310,junior,4/24/1996
217,1316,classic,11/9/1998
218,1322,classic,5/18/1998
219,1329,classic,12/4/1998
220,1333,classic,10/13/1996
221,1339,classic,8/10/1998
222,1345,classic,6/19/1997
223,1353,classic,4/18/1995
225,1359,classic,3/3/1998
226,1378,classic,4/18/1997
227,1380,classic,8/10/1996
228,1382,junior,3/15/1998
229,1384,classic,4/5/1996
230,1388,gold,10/25/1998
231,1390,junior,9/29/1998
232,1396,classic,5/1/1997
233,1418,classic,7/7/1998
234,1424,classic,9/29/1997
235,1438,classic,5/2/1998
236,1440,junior,1/29/1998
237,1445,classic,11/25/1997
238,1452,gold,8/17/1997
239,1453,gold,8/24/1998
240,1459,classic,12/23/1998
241,1461,classic,6/20/1997
242,1473,classic,9/24/1998
243,1478,classic,12/13/1996
244,1480,classic,3/16/1998
245,1483,classic,10/8/1998
246,1492,classic,2/8/1998
247,1500,junior,10/8/1997
248,1512,classic,3/1/1998
249,1517,classic,2/6/1998
250,1522,classic,6/30/1998
251,1525,classic,10/23/1997
252,1529,classic,9/2/1997
253,1536,gold,11/14/1998
254,1578,classic,11/11/1997
255,1579,gold,10/1/1998
256,1583,classic,5/26/1997
257,1589,classic,11/20/1998
258,1607,classic,1/26/1997
259,1610,classic,9/5/1997
260,1616,classic,7/5/1998
261,1629,gold,11/9/1995
262,1647,junior,8/24/1995
263,1668,gold,4/17/1998
264,1669,classic,10/7/1998
265,1680,classic,6/28/1996
266,1690,classic,3/4/1997
267,1691,junior,3/9/1996
268,1707,gold,12/11/1997
269,1718,gold,3/22/1998
270,1736,junior,6/17/1997
272,1754,junior,10/28/1996
273,1758,classic,11/7/1997
274,1759,classic,1/21/1998
275,1762,classic,5/20/1997
276,1765,classic,3/7/1998
277,1777,gold,7/12/1998
278,1779,classic,8/15/1996
279,1791,classic,9/21/1997
280,1793,classic,6/22/1997
281,1795,classic,12/22/1997
282,1799,gold,12/13/1997
283,1800,classic,2/25/1998
284,1807,classic,5/7/1998
285,1811,gold,9/10/1998
286,1812,gold,4/21/1996
287,1819,junior,6/28/1997
288,1826,classic,10/10/1998
289,1831,junior,4/8/1996
290,1833,classic,3/24/1998
291,1836,classic,9/29/1998
292,1842,gold,1/18/1997
293,1850,classic,2/17/1997
294,1861,classic,12/4/1996
295,1864,classic,10/26/1998
296,1876,gold,11/13/1995
297,1883,classic,6/15/1997
298,1885,classic,1/17/1997
299,1886,classic,10/25/1998
300,1890,classic,11/20/1996
301,1899,classic,7/7/1998
302,1900,classic,3/31/1996
303,1912,classic,8/1/1996
304,1913,classic,1/6/1998
305,1914,classic,5/23/1997
306,1929,classic,12/11/1998
307,1930,gold,9/5/1998
308,1938,classic,7/30/1998
309,1946,classic,9/19/1994
310,1947,junior,12/23/1998
311,1954,classic,7/1/1997
312,1971,classic,6/8/1996
313,1980,classic,6/17/1996
314,1999,junior,1/27/1995
315,2005,junior,3/24/1998
316,2013,classic,6/17/1997
317,2015,classic,6/10/1998
319,2038,junior,8/2/1998
320,2045,classic,7/11/1996
321,2058,gold,8/16/1998
322,2063,classic,12/28/1998
323,2065,junior,7/24/1998
324,2074,classic,2/19/1997
325,2102,classic,1/12/1997
326,2104,classic,12/14/1997
327,2117,classic,10/3/1997
328,2121,junior,9/12/1998
329,2122,gold,11/19/1997
330,2124,classic,4/11/1998
331,2125,gold,5/1/1998
332,2126,classic,6/19/1998
333,2128,classic,11/4/1998
334,2133,classic,3/13/1998
335,2137,classic,9/25/1998
336,2138,junior,10/9/1998
337,2141,classic,1/1/1996
338,2146,classic,4/16/1998
339,2154,classic,10/19/1998
340,2155,classic,1/25/1998
341,2156,gold,12/6/1998
342,2157,classic,9/27/1995
343,2164,classic,9/21/1997
344,2168,classic,7/27/1998
345,2175,classic,11/7/1998
346,2177,classic,8/14/1998
347,2184,classic,2/11/1997
348,2203,classic,2/2/1998
349,2214,classic,5/26/1997
350,2226,classic,4/20/1997
351,2232,classic,11/1/1998
352,2235,classic,9/11/1998
353,2259,classic,6/11/1997
354,2265,gold,6/30/1998
355,2267,classic,8/28/1997
356,2268,classic,9/13/1997
357,2277,junior,9/29/1998
358,2287,junior,5/23/1998
359,2299,classic,10/29/1997
360,2308,classic,2/24/1998
361,2312,classic,9/23/1998
362,2320,gold,6/21/1998
363,2324,junior,12/11/1996
364,2329,classic,2/29/1996
365,2332,classic,6/23/1998
366,2335,classic,10/9/1998
367,2343,classic,8/27/1998
368,2361,classic,1/10/1998
369,2363,classic,11/8/1994
370,2374,classic,4/3/1998
371,2388,gold,12/13/1998
372,2395,classic,3/31/1996
373,2401,classic,11/18/1997
374,2423,classic,11/8/1996
375,2425,junior,5/17/1997
376,2428,classic,11/10/1994
377,2429,classic,3/3/1994
378,2430,classic,12/11/1998
379,2431,classic,1/12/1996
380,2434,classic,12/15/1997
381,2440,classic,10/27/1996
382,2445,gold,11/22/1997
383,2469,classic,7/30/1997
384,2475,junior,9/15/1994
385,2476,classic,10/12/1998
386,2478,classic,8/14/1998
387,2481,classic,4/18/1997
388,2488,junior,11/26/1998
389,2489,gold,9/19/1998
390,2490,classic,10/14/1996
391,2493,classic,2/24/1998
392,2496,classic,11/22/1998
393,2498,junior,12/3/1995
394,2501,classic,10/5/1998
395,2502,classic,8/24/1998
396,2508,classic,7/26/1998
397,2513,classic,6/24/1995
398,2522,classic,2/14/1998
399,2527,classic,5/22/1997
400,2529,classic,4/6/1997
401,2532,classic,1/19/1998
402,2536,classic,9/3/1998
403,2538,junior,7/12/1997
404,2540,junior,11/12/1998
405,2542,classic,8/31/1998
406,2548,classic,8/16/1998
407,2555,classic,7/11/1996
408,2560,classic,12/10/1996
409,2562,classic,11/16/1998
410,2569,classic,7/20/1995
411,2572,classic,7/15/1998
412,2585,classic,5/9/1998
413,2592,junior,7/20/1997
414,2606,classic,9/26/1998
415,2609,classic,5/25/1998
416,2616,classic,10/1/1998
417,2619,classic,3/30/1998
418,2623,classic,4/14/1995
419,2626,classic,2/28/1998
421,2644,classic,4/27/1998
422,2650,junior,7/11/1995
423,2657,classic,2/19/1996
424,2659,classic,11/6/1998
425,2662,junior,9/4/1998
426,2686,classic,5/9/1997
427,2688,gold,1/25/1996
428,2698,classic,10/13/1997
429,2709,classic,11/5/1998
430,2713,classic,5/26/1997
431,2715,gold,9/12/1997
433,2724,classic,12/12/1996
434,2739,classic,12/30/1997
435,2740,classic,7/15/1998
436,2759,classic,10/9/1997
437,2762,classic,6/1/1994
438,2768,classic,10/30/1997
439,2779,classic,7/23/1998
440,2782,classic,7/7/1998
441,2785,classic,11/5/1996
442,2796,classic,12/26/1998
443,2808,classic,6/29/1997
444,2815,gold,4/3/1998
445,2820,gold,11/19/1998
446,2841,classic,6/4/1998
447,2845,classic,10/7/1998
448,2864,classic,4/29/1998
449,2865,classic,10/28/1998
450,2880,classic,7/7/1998
451,2888,junior,4/16/1998
452,2910,classic,12/19/1998
453,2911,gold,7/12/1998
454,2921,classic,8/1/1997
455,2924,classic,11/13/1998
456,2929,classic,5/16/1998
457,2948,junior,5/16/1998
458,2951,gold,5/14/1998
459,2958,gold,2/11/1998
460,2971,classic,10/5/1998
461,2977,gold,8/21/1998
462,2978,classic,12/30/1995
463,2982,classic,2/26/1998
464,2984,classic,2/21/1995
465,2995,classic,5/15/1998
466,2998,classic,11/25/1998
467,3019,classic,6/5/1995
468,3023,classic,1/30/1995
469,3026,classic,6/7/1998
470,3036,classic,9/2/1996
471,3037,classic,6/9/1997
472,3056,classic,11/24/1997
473,3063,classic,12/22/1998
474,3066,junior,1/24/1998
475,3075,gold,5/31/1998
476,3079,classic,7/6/1997
477,3082,junior,1/16/1995
478,3084,classic,10/9/1994
479,3085,classic,12/16/1998
480,3092,classic,9/1/1998
481,3102,junior,1/6/1998
482,3104,junior,1/13/1998
483,3115,classic,11/24/1994
484,3116,classic,7/4/1995
485,3124,classic,7/8/1998
486,3128,gold,12/25/1998
487,3130,classic,11/18/1998
488,3134,gold,10/20/1998
489,3135,classic,11/29/1998
490,3136,gold,2/7/1997
491,3151,classic,8/21/1997
492,3166,classic,4/9/1998
493,3167,classic,11/30/1997
494,3173,classic,6/10/1997
495,3181,classic,9/2/1997
496,3183,junior,7/21/1998
497,3184,classic,3/3/1995
498,3186,classic,4/18/1998
499,3187,classic,4/3/1996
500,3192,classic,11/26/1998
501,3197,classic,7/9/1995
502,3201,classic,8/22/1997
503,3225,classic,3/8/1995
504,3230,junior,11/6/1995
505,3233,junior,10/9/1998
506,3236,gold,12/19/1998
507,3245,classic,12/11/1997
508,3249,classic,8/3/1998
509,3253,gold,7/30/1998
510,3256,classic,4/13/1998
511,3257,junior,8/6/1997
512,3259,classic,7/24/1997
513,3260,classic,3/15/1997
514,3267,classic,9/10/1996
515,3268,classic,3/23/1998
516,3279,classic,10/25/1996
517,3291,classic,1/9/1998
518,3292,gold,2/10/1998
519,3297,classic,8/16/1998
520,3308,classic,9/25/1998
521,3310,classic,12/17/1997
523,3319,junior,11/23/1998
524,3333,classic,11/2/1998
525,3337,classic,7/27/1998
526,3339,classic,9/10/1998
527,3348,junior,12/14/1998
528,3356,classic,10/31/1996
529,3357,classic,2/27/1998
530,3360,classic,7/25/1998
531,3378,gold,8/24/1998
532,3382,classic,11/30/1997
533,3384,classic,10/9/1998
534,3387,classic,1/29/1997
535,3395,classic,3/22/1998
536,3404,classic,12/13/1997
537,3405,classic,9/15/1997
538,3414,gold,8/20/1998
539,3415,classic,4/23/1997
540,3425,classic,11/29/1997
541,3427,junior,11/26/1996
542,3439,classic,10/22/1998
544,3448,gold,9/10/1998
545,3458,classic,5/30/1995
546,3465,gold,8/19/1997
547,3477,classic,10/11/1996
548,3501,classic,7/16/1998
549,3504,classic,12/12/1998
550,3515,classic,8/8/1998
551,3517,classic,9/3/1998
552,3519,classic,10/25/1997
553,3522,classic,7/14/1997
554,3535,classic,9/29/1998
555,3544,classic,11/19/1997
557,3567,classic,1/17/1998
558,3568,classic,6/7/1998
559,3573,classic,6/17/1995
560,3577,classic,12/17/1998
561,3581,gold,9/28/1998
562,3583,classic,11/7/1996
563,3589,classic,10/21/1994
564,3590,classic,5/6/1997
565,3601,gold,1/6/1997
566,3606,classic,12/25/1997
567,3611,classic,7/8/1998
568,3615,classic,3/5/1997
569,3616,classic,12/12/1997
570,3620,classic,11/14/1998
571,3627,junior,7/13/1998
572,3636,junior,5/16/1997
573,3638,classic,12/23/1998
574,3640,junior,2/23/1998
575,3667,gold,12/25/1997
576,3671,classic,4/30/1997
577,3687,classic,2/15/1994
578,3689,junior,2/21/1997
579,3699,classic,11/18/1997
580,3713,classic,11/16/1998
581,3721,classic,8/13/1998
582,3733,classic,1/22/1997
583,3735,classic,4/24/1997
584,3751,classic,10/28/1998
585,3753,gold,10/1/1998
586,3756,classic,5/31/1998
587,3763,junior,8/5/1996
588,3765,classic,7/8/1997
589,3766,junior,12/20/1997
590,3769,classic,12/2/1997
591,3779,classic,7/23/1997
592,3782,junior,8/7/1995
593,3787,junior,1/6/1998
594,3794,junior,12/27/1996
596,3811,classic,10/19/1997
597,3813,junior,6/6/1997
598,3821,classic,8/23/1997
599,3824,gold,3/8/1998
600,3829,classic,5/20/1996
601,3830,classic,10/8/1996
602,3846,junior,4/18/1998
603,3850,classic,7/20/1998
604,3858,classic,11/4/1998
605,3874,classic,12/11/1998
606,3883,classic,1/22/1996
607,3885,classic,5/17/1997
608,3890,classic,12/17/1997
609,3893,classic,12/29/1996
610,3894,classic,8/29/1997
611,3896,classic,11/13/1997
612,3906,classic,9/22/1997
613,3913,classic,7/23/1998
614,3938,junior,10/16/1998
616,3943,classic,5/5/1997
617,3944,gold,4/9/1997
618,3947,classic,7/31/1998
619,3958,classic,4/1/1998
620,3959,classic,9/17/1998
621,3970,junior,3/19/1996
622,3981,junior,9/22/1997
623,3984,classic,7/25/1998
624,3985,junior,2/13/1998
625,3987,classic,7/17/1997
626,3992,classic,11/30/1998
627,3994,classic,7/5/1998
628,4007,classic,8/11/1997
629,4018,junior,9/25/1998
630,4019,classic,9/18/1998
631,4061,junior,6/9/1998
632,4069,classic,11/19/1998
633,4078,classic,10/12/1997
634,4081,junior,9/22/1998
635,4083,classic,12/29/1998
636,4091,junior,11/9/1998
637,4094,junior,8/6/1997
638,4100,gold,10/14/1997
639,4112,classic,5/23/1998
640,4115,classic,7/14/1998
641,4116,classic,6/18/1996
642,4137,classic,12/13/1996
643,4157,classic,3/4/1998
644,4165,classic,6/5/1998
645,4166,classic,5/17/1998
646,4167,classic,6/17/1998
647,4171,junior,3/21/1997
648,4188,classic,11/18/1997
649,4190,classic,5/29/1998
650,4194,classic,10/26/1997
651,4201,junior,8/2/1996
652,4211,classic,6/16/1995
653,4212,classic,9/16/1998
654,4230,classic,12/21/1998
655,4231,classic,2/13/1998
656,4235,classic,10/8/1997
657,4246,junior,12/2/1998
658,4251,classic,12/25/1994
659,4258,classic,1/8/1998
660,4265,junior,8/19/1997
661,4270,classic,7/3/1995
662,4293,classic,5/9/1995
663,4295,classic,8/6/1997
664,4316,classic,10/22/1997
665,4318,classic,3/24/1997
666,4328,junior,12/25/1995
667,4333,classic,1/31/1997
668,4340,classic,1/14/1997
669,4341,classic,6/19/1998
670,4343,classic,8/8/1996
671,4345,classic,9/17/1997
672,4349,classic,3/7/1998
673,4353,junior,8/31/1996
674,4360,classic,12/28/1998
675,4376,classic,6/23/1997
676,4380,classic,9/30/1998
677,4382,junior,12/1/1998
678,4405,gold,1/20/1997
679,4416,classic,3/6/1997
680,4417,classic,4/29/1998
681,4426,classic,1/22/1997
682,4429,classic,10/11/1998
683,4437,classic,8/5/1998
684,4457,classic,8/11/1998
685,4467,classic,12/29/1998
687,4471,classic,7/14/1998
688,4472,classic,8/1/1997
689,4473,classic,1/15/1998
690,4479,classic,11/7/1996
691,4492,classic,12/16/1998
692,4493,classic,12/8/1998
693,4495,junior,11/3/1998
694,4504,classic,7/24/1997
695,4507,classic,12/15/1995
696,4516,classic,7/5/1998
697,4518,classic,12/11/1996
698,4522,gold,10/7/1997
699,4532,classic,9/26/1995
700,4533,junior,5/22/1998
701,4534,classic,6/24/1998
702,4543,classic,8/30/1998
703,4546,classic,9/17/1997
704,4553,gold,11/21/1998
705,4555,classic,7/12/1995
706,4559,gold,1/16/1997
707,4560,classic,11/21/1997
708,4568,junior,9/24/1996
709,4587,junior,4/11/1997
710,4588,junior,12/10/1996
711,4592,classic,8/19/1998
713,4627,classic,9/30/1995
714,4638,classic,1/9/1997
715,4639,junior,12/8/1998
716,4651,junior,6/11/1998
717,4654,classic,5/19/1998
718,4660,classic,8/12/1997
719,4663,classic,6/24/1995
720,4674,junior,2/9/1998
721,4680,junior,4/5/1994
722,4684,classic,11/14/1996
723,4699,classic,12/15/1997
724,4701,gold,1/27/1998
725,4715,junior,3/30/1996
726,4721,classic,2/26/1998
727,4723,classic,7/19/1998
728,4725,classic,12/24/1998
729,4740,junior,1/22/1997
730,4749,classic,5/2/1997
731,4751,classic,6/23/1996
732,4763,classic,7/21/1994
733,4764,junior,6/30/1997
734,4765,classic,5/1/1998
735,4772,classic,12/19/1998
736,4789,classic,8/3/1996
737,4791,classic,4/13/1995
738,4808,junior,7/2/1998
739,4821,classic,12/3/1997
740,4823,junior,7/28/1998
741,4832,classic,9/11/1996
742,4833,classic,11/10/1998
743,4862,gold,10/18/1998
744,4863,classic,10/2/1998
746,4901,classic,11/4/1998
747,4915,classic,2/5/1994
748,4923,classic,6/16/1997
749,4929,classic,10/19/1998
750,4937,classic,10/24/1998
751,4941,junior,10/15/1998
752,4944,junior,9/6/1998
753,4974,classic,12/25/1998
754,4976,junior,10/10/1998
755,5002,classic,4/16/1998
756,5012,classic,5/18/1998
757,5013,junior,5/22/1998
758,5016,classic,9/21/1998
759,5117,junior,4/18/1995
760,5126,classic,1/19/1998
761,5128,gold,4/23/1998
762,5132,classic,11/10/1997
763,5138,junior,12/30/1994
764,5159,classic,5/29/1996
765,5175,classic,9/29/1998
766,5200,classic,2/11/1995
767,5204,classic,9/14/1997
768,5223,classic,7/6/1998
769,5224,classic,10/20/1998
770,5232,classic,6/15/1998
771,5233,classic,1/8/1996
772,5243,classic,10/30/1996
773,5245,classic,11/18/1998
774,5249,classic,12/25/1997
775,5253,gold,4/11/1998
776,5263,classic,10/19/1996
778,5275,classic,1/2/1995
779,5323,junior,5/21/1995
780,5333,classic,7/29/1998
781,5366,classic,7/7/1997
782,5376,classic,9/29/1998
783,5433,junior,10/24/1995
784,5461,classic,3/24/1998
785,5468,classic,6/16/1998
786,5478,classic,12/31/1996
791,5521,classic,5/12/1997
792,5526,classic,10/11/1998
795,5563,classic,8/2/1998
796,5579,classic,2/20/1998
801,5684,classic,6/15/1997
803,5727,classic,1/19/1998
813,5873,junior,10/28/1996
814,5911,classic,2/15/1996
819,5978,gold,12/6/1998
820,6039,classic,11/10/1998
823,6178,classic,6/5/1998
824,6196,classic,4/29/1998
829,6255,classic,12/22/1998
831,6275,classic,6/29/1998
833,6299,classic,8/1/1998
834,6301,classic,8/21/1998
841,6468,classic,3/6/1997
844,6567,junior,3/4/1998
847,6610,classic,5/20/1997
850,6644,classic,1/16/1997
854,6753,classic,10/7/1996
855,6764,classic,10/24/1998
857,6789,junior,10/25/1998
863,6906,classic,6/12/1998
874,7127,gold,10/7/1997
880,7186,classic,9/17/1998
882,7195,classic,9/11/1996
884,7286,gold,7/31/1997
886,7325,classic,12/15/1998
890,7422,classic,9/8/1996
891,7434,classic,12/23/1997
896,7567,classic,9/18/1997
897,7576,classic,1/18/1998
904,7672,classic,1/22/1998
906,7683,gold,5/18/1998
918,7796,classic,4/27/1998
923,7855,classic,9/24/1998
924,7862,classic,12/24/1998
933,7959,junior,4/21/1998
936,8030,classic,8/2/1997
939,8217,junior,5/29/1997
942,8295,classic,12/2/1997
945,8342,junior,5/9/1996
946,8359,junior,2/28/1998
947,8366,classic,11/8/1997
951,8392,classic,8/16/1998
956,8502,classic,9/30/1998
957,8506,junior,10/16/1998
965,8636,classic,4/2/1998
977,8968,classic,5/8/1996
989,9119,classic,2/21/1996
991,9149,junior,7/1/1998
1001,9247,classic,11/20/1998
1002,9261,classic,7/9/1998
1003,9274,classic,8/9/1998
1005,9285,classic,11/7/1993
1007,9333,gold,9/25/1998
1009,9409,gold,6/14/1997
1010,9413,classic,10/27/1996
1014,9452,classic,11/2/1996
1016,9525,classic,10/28/1997
1022,9606,classic,12/13/1997
1023,9621,classic,8/30/1998
1024,9622,classic,9/20/1998
1025,9625,classic,9/8/1997
1035,9732,classic,10/11/1998
1036,9735,classic,1/17/1997
1038,9787,junior,3/30/1995
1039,9837,classic,1/7/1995
1040,9890,junior,5/28/1995
1043,9974,junior,8/14/1996
1055,10171,classic,7/24/1996
1056,10220,classic,11/6/1997
1059,10235,classic,7/29/1997
1064,10328,classic,2/17/1996
1070,10490,junior,11/8/1998
1076,10604,gold,7/27/1998
1081,10696,classic,12/25/1998
1087,10887,classic,10/6/1996
1093,11011,classic,1/20/1997
1095,11023,gold,7/28/1997
1098,11063,classic,9/1/1998
1100,11101,junior,4/10/1996
1102,11183,classic,4/25/1998
1103,11189,classic,11/4/1995
1105,11237,classic,12/13/1997
1111,11288,classic,12/31/1996
1115,11375,junior,10/3/1997
1118,11393,classic,1/2/1997
1134,11742,classic,5/31/1996
1137,11771,gold,12/1/1998
1138,11825,classic,6/29/1997
1139,11836,junior,3/26/1996
1150,12020,classic,8/25/1998
1154,12070,classic,9/5/1998
1155,12088,classic,8/1/1998
1164,12269,classic,8/12/1996
1165,12291,classic,11/8/1998
1167,12335,classic,7/18/1998
1169,12354,classic,11/30/1998
1173,12442,classic,5/8/1997
1175,12494,classic,11/24/1998
1176,12502,gold,7/3/1996
1177,12535,gold,12/6/1998
1178,12542,classic,6/19/1997
1187,12635,gold,7/17/1996
1188,12678,classic,9/19/1998
1189,12683,classic,3/17/1998
1192,12736,classic,7/2/1998
1193,12743,classic,10/1/1998
1194,12781,junior,4/30/1998
1195,12787,gold,9/4/1998
1196,12805,classic,6/27/1997
1199,12826,classic,3/9/1998
1203,12893,classic,9/26/1997
1216,13097,classic,5/26/1998
1217,13098,junior,8/9/1998
1220,13160,classic,8/8/1997
1223,13231,junior,5/2/1995
1225,13268,classic,11/22/1995
1230,13312,classic,3/8/1998
1233,13382,classic,7/6/1996
1234,13386,classic,11/28/1997
1239,13442,junior,2/2/1998
1247,13660,classic,6/13/1995
